sequencing_platform	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq	IlluminaHiSeq
DNA_extraction_kit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit	Illuminakit
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1	0	0	0	0	0.10192	0	0	0	0	0.00774	0.02779	0	0	0.07444	0.11199	0.00566	0.0937	0	0.02197	0.03082	0.20255	0	0	0	0	0.07483	0	0	0	0.0151	0	0	0	0	0.00189	0	0	0	0.00085	0	0	0	0	0	0.01652	0.01198	0	0	0.37226	0	0	0	0	0	0.02577	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	0	0	0	0	0.06536	0	0	0	0	0	0.04498	0	0	0	0	0	0	0	0	0.07271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00183	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	0	0	0	0.06064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00729	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_timonensis	0	0	0	0	0.04419	0	0	0	0	0	0	0	0.0149	0	0	0	0	0	0.02096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065	0	0	0	0	0	0	0	0	0	0.16076	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0	0	0	0.01425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01221	0	0.01214	0	0	0.02325	7.17289	0	0.0609	0	0	0	0	0	0	0	0.01079	0	0	0	0	0	0	0.05046	0	0.00314	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_579	0	0	0	0	0.00984	0	0	0.01836	0	0	0	0	0	0	0	0	0	0	0.16133	0.02238	0.63588	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05198	0	0	0	0	0	0	0	0	0	0.27181	0	0	0	0.01397	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	0	0	0	0	0.00581	0	0	0	0	0	0.03149	0	0.53788	0	0	0.02291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01851	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_duerdenii	0	0	0	0	0.00529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00577	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	0	0	0	0	0.00374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_haemolyticus	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_europaeus	0	0	0	0	0	0.06336	0	0	0	0	0.06791	0	0	0	0	0.01161	0	0	0	0	0	0	0	0	0	0	0.00857	0	0	0.00538	0	0	0	0	0	0	0	0	0	0	0	0	0.03743	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_hyointestinalis	0	0	0	0	0	0.00439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Morganella|s__Morganella_morganii	0	0	0	0	0	0	1.52703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_crispatus	0	0	0	0	0	0	0.15057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis	0	0	0	0	0	0	0.13184	0	0	0	0.38393	0	9.2632	0	0	0	0	0	0.01589	0.10295	0	0.03412	0.01206	0	0	0	0	0.01342	0	0	0	0	0	0	0.00365	0.1373	0.00468	0	0.00691	0	0	0	0	0.01335	0	0	0	0	0	0	0	0	0	0	0	0.00507	0.01065
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	0	0	0	0	0	0	0.04875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis	0	0	0	0	0	0	0.00891	0.00243	0	0.03229	0.00756	0	0	0	0	0.00874	0	0	0	0	0	0	0	0	0	0	0	0	0.02622	0	0	0	0	0	0	0	0	0	0	0.03184	0	0	0.00807	0	0	0	0.01563	0	0	0	0	0.00523	0.0427	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis	0	0	0	0	0	0	0.00724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00993	0	0	0	0.003	0	0	0	0	0	0	0.00151	0	0	0.05023	0	0	0	0.00931	0	0	0	0.06893	0	0	0	0	0.07235	0.00149	0	0	0	0	0	0.0193	0.1035
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Franconibacter|s__Franconibacter_helveticus	0	0	0	0	0	0	0.00202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00244	0	0	0	0.01058	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181	0	0	0	0	0	0	0.00066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00884	0.00369	0	0	0	0	0	0	0	0.00624	0	0	0	0	0.00448	0	0	0	0	0	0	0.00155	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_964	0	0	0	0	0	0	0	0.80085	0.04937	0	0	0	4.38038	0	0.50283	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58932	0	0	0	0	0	2.35184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_mucosae	0	0	0	0	0	0	0	0.53052	0	0	0	0	0	0	0	0	0.08962	0	0	0	0	0	0.00179	0	0	0	0	0	0.03726	0	0	0	0	0	0	0	0	0.01635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	0	0	0	0	0	0	0	0.29861	0.66551	0	0.44907	0	0	0	0	0.17846	0	0	0.02879	0	0	0	0	0	0	0	0	0.00416	0	0	0	0	0	0.01229	0	0	0	0	0.08225	1.5439	0	0	0.08053	0	0	0	0	0	0	0	0	0	0	0.12315	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gallolyticus	0	0	0	0	0	0	0	0.08391	0	0	0.17807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28149	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus	0	0	0	0	0	0	0	0.07676	0	0	0.24403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37559	0	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified|g__Candidatus_Gastranaerophilales_unclassified|s__Candidatus_Gastranaerophilales_bacterium_HUM_9	0	0	0	0	0	0	0	0.06542	0	0.13692	0.31366	0	0.32165	0	0.29559	0	0	0	0	0.11807	0.01398	0	0	0	0	1.15134	0	0	0	0	0	0	0	0.02142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3	0	0	0	0	0	0	0	0.02843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02575	0.00092	0	0	0	0	0	0	0	0.00227	0	0	0	0	0.00664	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacterales_unclassified|g__Plesiomonas|s__Plesiomonas_shigelloides	0	0	0	0	0	0	0	0.02174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00513	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0.01635	0	0	0	0	0	0	0	0	0	0	0	0	0.07583	0	0	0	0	0	0	0	0.06121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00255	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens	0	0	0	0	0	0	0	0.00273	0	0.02987	1.72645	0	0	0	0	0	0	0	0	0	0	0	0.00361	0	0	0	0.03997	0.00079	0.02682	0	0	0	0	0	0	0.45515	0	0	0	3.30222	0	0	0	1.02997	0	0	4.17394	0	0	0	0	0	0.00399	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_succinifaciens	0	0	0	0	0	0	0	0	0.5875	0.01523	0	0	0.09959	0	0.42705	0	12.39495	0	8.75874	2.39798	0	0	0.42852	0	0.15689	0.51484	0	1.2911	0	2.42742	0.46317	1.08978	0.01737	0.0932	0.27148	0	0	0	0.03894	0	1.62917	0	0.00045	0	0.07385	0	0.01183	2.05661	0	0	0	0	0.02428	5.23904	1.96288	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_786	0	0	0	0	0	0	0	0	0.13842	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08107	0	0	0	0	0.13089	0	0	0	0	0	0.00168	0.06509	0	0	0	0	0	0	0	0	0	0.14175	0	0	0	0	0	0	0	0.00354	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_ruminis	0	0	0	0	0	0	0	0	0.10114	0	0	0	0	0	0	0	0	5.76164	0	0	0	0	0	0.06539	0.08048	0	0	0	0	0	0	0	0	0	0	0	0.10458	0	0.01809	0.00032	0	0	0.06127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_309	0	0	0	0	0	0	0	0	0.01301	0	0	0	0	0	0.02727	0	0	0	0	0.10943	0	0	0	0	0	0.00451	0	0	0	0	0	0	0	0.04025	0	0	0.01934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0	0	0	0	0	0	0	0	0	0.44761	0.57536	0	0	0.05644	0	0.00413	0	0	0.00623	0.03001	0	0	0	0	0.00158	0	0	0	0	0	0	0.04918	0.0287	0	0.01997	0.04111	0.01904	0.01473	0.00073	0.00752	0	0.0372	0	0	0	0.00978	0.02265	0.19358	0.006	0	0.02225	0	0	0	0.64554	8.20471	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_berlinense	0	0	0	0	0	0	0	0	0	0.13364	0	0	0.21349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47721	0	0	0	0	0	0.34522	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62582	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_portucalensis	0	0	0	0	0	0	0	0	0	0.04754	0.03113	0	0	0	0	0.04495	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89772	0	0.00805	0	0	0	0	0	0	1.30401	0	0	0	3.84838	0	0	0	0.02781	0.02868	0	0	0	0	0.02227	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0.03652	0.02733	0	0	0	0	0.11118	0	0	0	0.08361	0	0	0	0	0	0	0	0	0	0	0	0	0.00216	0	0.00646	0.06487	0	0	0.00111	0	0	0	0.00092	0.02077	0	0	0	0.0126	0	0	0	0	0	0	0	0.02593	0.03863
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii	0	0	0	0	0	0	0	0	0	0.03302	0	0	0	0	0	0.01952	0	0	0	0	0	0	0	0	0	0	0.09058	0	0	0.7414	0	0	0	0	0	0	0	0	0.86896	0	0	0	3.34577	0	0	0	0.01805	0	0	0	0	0	0.07437	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rodentium	0	0	0	0	0	0	0	0	0	0.00861	0.05772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Kluyvera|s__Kluyvera_georgiana	0	0	0	0	0	0	0	0	0	0.00336	0	0	0	0	0	0.01088	0	0	0	0	0	0	0	0	0	0	0.00854	0	0	0.10224	0	0	0	0	0	0	0	0	0.25847	0	0	0	0.88101	0	0	0	0	0	0	0	0	0	3.75326	0	0	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_534	0	0	0	0	0	0	0	0	0	0	0.3691	0	0.32663	0	9.56141	0	0	0	0	0.10983	0	0	0	0	0	0	0	0	0.74671	0	0.00387	0	0	0	0	0	0	0	0	0	1.13655	0	0	0	0	0	0	0.07358	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_tobetsuensis	0	0	0	0	0	0	0	0	0	0	0.18503	0	0	0	0	0.04522	0	0	0.00353	0	0	0.00223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06625	0	0	0	0.00243	0.00761	0.04199	0	0.00296	0	0.00544	0.00372	0	0.04664	0.03522	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0	0	0	0	0	0	0	0	0	0	0.16537	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0.11616	0.01875	0	0	0	0	0	0	0.01432	0	0	0	0	0	0	0.00852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00346	0	0	0	0	0	0	0	0	0	0	0	0.03542	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	0	0	0	0	0	0	0	0.09397	0	0	0	0	0.75536	0	0	0.03681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06615	0.01004	0	0	0	0.00725	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Anaeroglobus|s__Anaeroglobus_geminatus	0	0	0	0	0	0	0	0	0	0	0.09187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group	0	0	0	0	0	0	0	0	0	0	0.08311	0	0	0	0	0	0	0	0.06303	0.08672	0	0.00452	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11372	0	0	0	0	0	0	0	0.00314	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Paeniclostridium|s__Paeniclostridium_sordellii	0	0	0	0	0	0	0	0	0	0	0.07857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01941	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_youngae	0	0	0	0	0	0	0	0	0	0	0.06382	0	0	0	0	0.10891	0	0	0	0	0	0	0	0	0.00722	0	0.14648	0	0	2.36021	0	0	0	0	0	0	0	0	2.12234	0	0	0	6.36362	0.02567	0	0	0.0101	0.02125	0	0	0	0	0.12863	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis	0	0	0	0	0	0	0	0	0	0	0.05066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00791	0	0	0	0	0	0	0.00063	0	0	0	0.01757	0	0	0	0.00074	0	0.01869	0	0	0	0.14161	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Aggregatibacter|s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0.04881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0	0.00636	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus	0	0	0	0	0	0	0	0	0	0	0.04564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0.04139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00857	0	0	0	0	0	0.01224	0.03766	0	0	0	0.03856	0	0	0	0.04582	0	0.02146	0.04258	0	0	0	0	0.00523	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_414	0	0	0	0	0	0	0	0	0	0	0.03607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00645	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum	0	0	0	0	0	0	0	0	0	0	0.03215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified|s__Eubacterium_sulci	0	0	0	0	0	0	0	0	0	0	0.03133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01174	0	0	0	0	0	0.00319	0.01731	0	0	0	0	0	0	0	0.01969	0	0	0.0341	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_pumilum	0	0	0	0	0	0	0	0	0	0	0.03086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sinensis	0	0	0	0	0	0	0	0	0	0	0.02609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02019
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_rimae	0	0	0	0	0	0	0	0	0	0	0.02543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00082	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0.02442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00363	0	0	0	0	0	0.03453	0.03151	0	0	0.00424	0.02474	0	0	0	0.0316	0	0	0.10221	0	0.01291	0	0	0.00163	0	0	0	0	0
