	SID010101	SID010102	SID010104	SID010201	SID010202	SID010204	SID010301	SID010302	SID010304	SID010401	SID010402	SID010404	SID01A_000	SID01A_006	SID01A_220	SID01B_000	SID01B_007	SID01B_221	SID01C_235	SID01C_566	SID01D_013	SID01D_190	SID01D_570	SID01E_000	SID01E_015	SID01E_191	SID01F_239	SID01F_573	SID01G_000	SID01G_005	SID01G_234	SID01H_011	SID01H_202	SID01H_568	SID01I_012	SID01I_569	SID01J_010	SID01J_173	SID020101	SID020102	SID020104	SID020201	SID020202	SID020204	SID020301	SID020302	SID020304	SID02A_561	SID02B_552	SID02C_553	SID030101	SID030102	SID030104	SID030201	SID030202	SID030204	SID030301	SID030502	SID030504	SID030601	SID030602	SID030604	SID030701	SID030702	SID030704	SID03A_000	SID03B_000	SID03C_000	SID03D_000	SID03E_000	SID03F_000	SID03G_000	SID040101	SID040104	SID040201	SID040202	SID040203	SID040204	SID040301	SID040303	SID040304	SID04B_564	SID04C_565	SID04D_562	SID04E_563	SID05A_000	SID05B_000	SID05C_000	SID05D_000	SID060101	SID060102	SID060201	SID060202	SID060301	SID060302	SID060401	SID060402	SID060502	SID060601	SID060602	SID07A_558	SID07C_541	SID07D_542	SID07E_559	SID080101	SID080102	SID080104	SID080301	SID080302	SID080304	SID08A_000	SID08A_022	SID08A_236	SID08B_044	SID08C_021	SID08D_079	SID08D_257	SID08D_572	SID08E_000	SID08E_041	SID08E_160	SID08F_000	SID08F_040	SID08G_000	SID08G_023	SID08H_000	SID08H_008	SID08I_009	SID08I_170	SID08I_545	SID08J_078	SID08K_032	SID08K_237	SID08K_560	SID090101	SID090102	SID090201	SID09A_515	SID09B_516	SID09C_517	SID09D_518	SID09E_519	SID100201	SID100202	SID100204	SID100301	SID100302	SID100304	SID100401	SID100402	SID100404	SID140101	SID140102	SID140104	SID140201	SID140202	SID140301	SID140302	SID140304	SID190101	SID190104	SID210101	SID210102	SID210104	SID210201	SID210204	SID210301	SID210302	SID210304	SID210401	SID210402	SID210404	SID240101	SID240102	SID240104	SID240201	SID240202	SID240301	SID240302	SID240304	SID240401	SID240402	SID250101	SID250102	SID250104	SID250301	SID250501	SID250502	SID250701	SID250702	SID250704
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0.05152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3326	0	0	0	0	0	0	0	0.02493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00346	0.02702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69608	0.19884	0	0	0	0	0	0	0	0	0	0	0	0.68119	0.38337	0	0	0	0	0	0	0	0	0	0	0.01739	0	0	0	0	0	0.03166	0	0	0	0	0	0.01246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0	0	0.03291	0.0453	0	0	0	0	0	0.03018	0.04655	0	0	0	0.06351	0	0	0	0	0	0	0	0	0	0	0.02736	0.43394	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333	0.02485	0	0	0	0	0	0	0	0	0	0.03629	0.06959	0	0	0.0357	0	0	0	0	0.01711	0	0	0	0.04973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03738	0.04318	0	0.01843	0	0	0	0	0	0	0	0	0	0	0.01619	0	0	0	0	0	0	0	0	0	0	0	0.10029	0	0	0	0.0402	0	0	0	0	0	0	0	0	0	0	0.05053	0	0	0	0	0	0.02091	0	0	0	0	0	0	0	0.00911	0	0.00121	0	0	0.03097	0	0	0	0	0	0	0	0.03559	0	0	0	0	0.00338	0	0	0	0	0	0	0.04954	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_303	0	0	0.02547	0.02414	0	0	0.90267	0	0.5675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00526	0.05916	0	0	0.82649	0	0.58827	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65747	0.00339	0	0	0	0.01752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68598	0	0	0	0	0	0	0	0.66214	0.28973	0	0	0	0	0	0.04201	0	0	0	0	0.08822	0.6281	0.76629	0	0	0	0	0	0.00799	0	0	0	0	0	0.09347	0	0	0.06362	0.00749	0.19387	0.02365	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	0	0	0.0206	0.27977	0.44369	0.09519	0	0	0	0	0	0.13689	0	0	0.17471	0.07042	0	0	0.02879	0	0	0.09222	0	0.09909	0	0.87701	0.72925	0.00836	0	0.01441	0.38986	0	0	0	0	0	0	0	0	0	0.0228	0.38003	0.54256	0.11529	0	0	0	0	0	0	0	0	0	0	0.22353	0.41324	0	0	0.18887	0	0.10341	0.1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02511	0.04741	0	0	0	0	0	0	0	0	0	0	0.02651	0	0	0	0	0	0.00062	0	0.0803	0.05498	0.38451	0.17387	0.13514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16612	0	0.09658	0	0	0	0	0	0	0	0	0	0	0	0.11725	0.07668	0	0.00627	0	0	0.02033	0.27993	0.06945	0.14463	0	0	0.79854	0	0	0.00732	0.00606	0	0.06676	1.98113	0.32961	0.15955	0.33327	0	0	1.17501	0	0	0	0	0.05539	0.15706	0	1.81525	0	0	0	0	0	0	0	0	0.08306	0.14903	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans	0	0	0.00762	0	0	0	0	0	0	0	0	0	1.00075	0.23852	0	0.49929	0	0	0.2636	0.93979	0	0	0.03442	0.27498	0	1.33743	9.28795	4.13579	0.02847	0	0	0	1.29862	0.40088	0	0.17148	0	0	0	0	0	0	0	0	0	0	0	0	1.00667	0.00174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01473	0.74775	0.23316	0	0.20446	0.19262	0	0	0	0	0	0	0	0	0	1.50976	0.15884	0.42016	0.28565	0.80544	0.22161	0.09199	0.04965	0	0	0	0	0	0	0	0	0	0	0	0.01957	0.70012	3.87017	0.38493	0	0	0	0	0	0	0	0	0.02618	0	0	0	0.06865	0.09888	0.60173	0	0.04933	0.27329	0	0.039	0	0.11905	0	0	0.0661	0.02437	0	0	0.05802	1.46784	0	0	0	0.0113	1.27976	0.17864	0.3891	0.26012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04601	0	0	0	0	0	0	0	0	0	0	0	0	0.02707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii	0	0	0.00603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04201	0	0	0	0	0	0	0	0.01796	0	0	0.00294	0	0	0.00728	0	0.00994	0	0	0	0	0	0	0	0	0	0	0	0	0.07337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03257	0	0	0.00497	0	0	0	0	0	0	0	0	0	0	0	0	0.09877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00469	0.02537	0	0	0	0	0	0	0	0	0	0	0.04327	0.20368	0	0	0.00157	0	0.0181	0	0	0.0466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_infantium	0	0	0.00558	0	0	0	0	0	0	0	0	0	0	0	0	0.00899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00579	0	0	0	0	0	0	0.00241	0.00631	0.00649	0.00884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0192	0	0.00753	0	0.0127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01076	0	0	0	0	0	0.01266	0	0	0	0	0	0	0	0	0	0	0	0.03161	0	0	0	0.00548	0	0	0	0	0	0	0.00355	0	0.25505	0	0	0	0	0	0.02485	0.05397	0	0	0.00369	0	0.34132	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	0	0	0	1.27189	0.92718	0.10295	0	0	0	0	0	0	0.07086	0	0	0	0	0	0	0.08586	0	0	0	0	0	0	0	0	0.22274	0	1.16889	0	0	0.00313	0	0	1.93098	0.53765	0	0	0	0.76124	0.91345	0.2861	0	0	0	0	0.1347	0.0265	0	0	0	0	0.00907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01735	0.08673	0.03647	0.13212	0	0	0.21801	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09372	0	0	0	0	0	0	0	0	0	0	0.06092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09896	0	0	0.00442	0.00298	0.03837	0.13111	0.04382	0.11937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	1.10639	1.09441	1.89672	0	0	0	0	0	1.61631	0	0.57942	0	1.12318	6.55579	5.47633	0.53238	3.49096	24.59053	3.02384	0.53349	5.45329	10.13446	14.89898	0	12.63684	8.25544	16.03266	11.37153	0	0.04128	2.17616	0	0.11875	0	0	0	0	0	2.02928	0.87093	1.84453	0	0	0	3.23402	0	0	0	0	0	5.03099	2.2216	0.11414	0.65484	0	5.35824	1.57253	0.58497	0.11073	0	0.05229	0	6.01858	0	16.8806	12.49709	3.95811	0.41984	50.19895	0	0	0	0	0	0	0	5.74619	0	0	0.10223	11.3348	2.68591	0.50273	7.10128	7.56369	0	0	0.35054	0.04071	3.43565	0.50983	5.96728	0.25678	2.96662	0.34885	0.94285	0	0.20397	1.74682	11.76501	2.74612	0.23986	0.32527	0.59917	0.12653	5.39649	0.72289	0	0	0	0	0	0	0	0.00987	12.17058	0	0	11.69752	0	2.52508	0	0.17505	0	0	0.00189	2.29425	0	3.38748	1.87791	0	0.04031	0.03773	0.03672	0	0	0.02284	10.91862	2.75339	0.04316	0.54238	0.98986	0.28507	0.3272	0.48653	0.20409	3.75971	0.10789	0.15966	0	2.53929	0.9211	0	0	0	0.03085	0	0.18946	3.21044	0.05169	0.58671	0	2.52425	2.69104	1.74467	0.05535	0	0	0.14167	0	0.05258	0	0	0	0	0.4982	1.92818	0	0	0.14443	0.01007	0	0.16508	0	0	0	0	0.73818
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	0	0	0	0.93324	0	0	0	0	0	0	0	0.1582	0	0	0	0.11271	0	0	0.95595	0.03898	0	0	0.54731	1.14881	0	0	0	0	0.14684	0	0	0	0	0.21709	0	0	0.00803	0	0	0	0	1.66951	0	0	0	0	0	0	1.10443	0	0	0	0	0	0.24457	0.6372	0	0	0.00148	0	0	0	0	0	0	3.47987	0.66351	0.09693	0.65947	0	0.26113	0.41873	0	0	0	0	0	0	0	0	0	18.03301	19.08702	5.11724	0.82604	0.19026	1.19964	0.5924	6.95978	0	0	0	0	0	0	0	0	0.13003	0	0	0.71383	0.00593	0	0.28069	0	0.15942	0	0.83662	0	0	0.66192	0	0.4487	0.08122	0	0	1.27995	0	0	0	3.77634	0.47767	0	0	0	0.14111	0	0	0	0	0	0	0.05074	1.73784	0	0	0	0	18.87174	22.64387	4.72195	0.9032	0	0	0	0	0.13342	0	0	0	0	0.07042	0	0	0	0.3335	0	0	1.63984	0	0	0	0	0.17949	0	1.26689	0	0	0.86575	0	0	1.39782	0	0	0	0	0	0	0	0.88062	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0	0	0.8479	1.14435	0.82889	0.05603	0.26676	0.01432	0.26709	1.301	0	29.867	32.02349	5.81429	8.22052	32.89448	15.18145	6.25461	4.73404	11.43802	5.68033	4.6238	14.50988	34.89413	25.0375	0	34.31404	15.86688	12.82049	13.66591	65.93804	23.11652	12.20871	0.22047	0.03404	9.50195	25.01122	0	0.01134	0	1.42458	1.03626	0.73293	0.13502	0.36568	0.01822	15.72419	5.2115	33.45237	0.61326	0.25672	1.33558	0.82715	0	0	0.70014	0	0.06246	0	1.59637	1.43144	2.7784	0	0	18.00425	3.06218	6.24271	7.02161	1.04323	6.14358	6.67045	0.57219	1.32182	10.52858	0	2.70695	9.73038	0	0.28247	0	28.87205	9.06248	0.30907	5.3781	11.17692	15.68465	16.81815	0.77306	4.53012	0.08495	0	0	0.80148	0.83805	0.4538	0	0.49974	1.95744	0	3.26639	3.08231	33.96373	7.97653	0.47311	0.27565	8.41913	0	0.05523	1.27175	3.14364	10.95333	1.61343	8.01008	0	0	3.51635	0.02472	4.96832	0.55492	0.9035	8.95994	7.863	0.92374	0	7.48081	17.6072	0.30093	2.75019	14.68942	7.1216	27.88915	5.36977	6.47027	0.95129	0	0	18.49491	22.59116	7.98816	0.50785	6.00127	0.00214	0.74387	2.07346	0.33763	0.33735	6.22165	0.10548	0.55158	0.12041	9.03964	1.70027	0.54729	0.26177	0.06104	38.31701	74.18946	2.48756	0.58556	0.05495	0.66277	0.09135	5.65163	1.074	0.49428	0.60968	0.69741	0.24309	72.68788	72.92809	3.71593	0.57163	0.52463	0	0.00767	0	0.9244	0.68601	0.54333	0	0	0.28204	0.10886	0	0.88996	0	0.00373	0	1.23251	0.72045
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_sp_CAG_528	0	0	0	0.31828	0.65932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52128	0.57187	0	0	0	0	0	0	0	0.33053	0	0	0.43604	0	1.70357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21807	0	0	0	0	0	0	0	0	0	0	0.10856	0	0	0	0	0	0	0	0	0	0.56557	0.7064	0	0	0	0.08592	0	0	0	0	0	0	0	0.42212	1.03928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51017	0.13457	0	0	0.39746	2.42014	1.04543	0	0.25935	0	0	0	0	0	0	1.04268	0	1.71645	1.07451	0	0.86126	0	0	0	0	0	0	0	1.68146	0	0	0	0	0	0	1.29091	0	0	0	0	0	0	0	0	0	0	0	1.37034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0	0	0	0.30635	0.38314	0.25658	0.14899	0.02587	0.05445	0	0	0	0	0	1.12657	0.08497	0	0	0	0	0	0	0	0	0	0.72617	0	0.00066	0	0	0	0	0	0.01999	0	0	0	0	0	0	0	0.50358	0.39737	0.24634	0.2186	0.04929	0.05158	0	0.05353	0	0	0	0	0	0	0.54279	0	0.00952	0.2155	0	0	0.06817	0	0	0	0	0.03626	0.18726	0.06354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0	0	0	0.14661	0	0	0	0.05185	0	0.01783	0	0	0	0.01047	0.08792	0.08189	0.20763	0.50143	0.15339	0	0.07982	0	0.36681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21822	0	0	0	0.05268	0	0	0	0	0	0	0	0	0	0	0.17976	0	0.05262	0.09756	0.2131	0.42602	0.07761	0.03487	0	0.02486	0	0	0	0	0	0	0.00334	0.29804	0.11012	0.04847	0	0.0662	0.00575	0	0	0.08923	0	0	0	0	0	0	0	0	0	0.07981	0.00961	0	0	0	0	0.0702	0	0	0	0	0	0.10744
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii	0	0	0	0.30458	0.1353	0	0	0	0	0.16024	0.0725	0	0	0	0	0.1178	0	0	0	0.29055	0	0	0.05238	0.02051	0	0	0	0	0	0	0	0	0	0	0	0.11028	0	0	0	0	0	0.22763	0.12579	0	0	0	0	0.31494	0.68766	0.51426	0.2603	0.20903	0.1135	0	0	0	0	0	0	0	0	0	0	0.04163	0.05956	5.21272	0	0	0	0	0	0	0.07295	0	0	0	0	0	0	0	0	0.01196	0.39309	0.22539	0.03731	0.18778	0	0	0.27562	0	0	0	0	0.15588	0	0	0	0	0.35292	0	0.08192	0.35623	0	0	0.01737	0	0	0	0	0	0	0	0	0	0	0	0.03489	0.09842	0	0	0	0	0	0	0	0	0	0	0	0.29911	0	0	0	0.62497	0	0.00898	0.06798	0.27853	0.03549	0.5118	0.14501	0.01932	0	0.2007	0.37557	0.01272	0	0	0	0	0	4.7195	1.99028	0	0	0.09135	0	0	1.05871	0.06151	0	0	0	3.4062	1.2821	0	0	0	0.31122	0	0	1.84013	0.05215	0.10565	0.0033	0	0	0	0	0	0	0	0	0	0	0.09	0.00329	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0	0	0.23267	0.51809	0.15226	0	0	0	0	0	0	0	0	0.04056	0.03969	0	0	0.07617	0	0	0	0	0	0	0	0	0	0.01915	0.20193	0.23366	0	0.02835	0	0	0	0.0703	0.01421	0	0	0	0.35358	0.47008	0.17811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61376	0	0	0	0	0	0	0	0	0	0.00097	0.00062	0	0	0	0	0	0	0	0	0	0.00362	0	0	0	0	0	0.03774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04131	0.01845	0.02965	0	0	0.67779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20271	0	0	0	0	0	0	0	0	0	0	0	0	0.03165	0.02033	0.04147	0.00444	0	0	0	0	2.5223	0.88114	0.11117	0	0	0	0	0	0	0	0	0	0.6803	2.62971	1.46293	0.04018	0	0	0	0	0	0	0	0	0	0	0.56928	0	0	0	0	0.01732	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0	0	0	0.18488	1.1959	0.0998	0	0	0	0	0	0	8.83622	0	2.30426	3.05415	0	0	0.78268	1.77498	0	0	0.00466	8.33861	0	2.07584	0	0.01796	0.09818	0	0	0	0.82736	0.141	0	1.59815	0	0	0	0	0	0.39837	0.9229	0.15424	0	0	0	1.70028	4.42862	0	0	0	0	0	0	0.80192	0	0	0.06218	0	1.61725	0.47014	0	0.01187	0	0	2.27765	10.9725	7.43844	9.04853	2.80543	0.0332	0	0	0	0	0	0	0	0	0	0	1.82007	0.01063	0.74568	2.21277	8.85582	0.33835	0	0	0	0	0	0	0	0	0	0.0142	0	0	0	0.65372	0.00362	0.08914	0	0.12667	0	0.62168	0.05034	1.94898	2.55824	0	0.60826	0.02476	0	0	0	1.0234	7.72107	0	0	6.29258	0	6.37019	0	0.98658	0.00115	0	0	1.46075	0	0	1.30634	5.40166	0.3745	0	0	0	0	1.55583	0	0.60268	0	0	0	0.00526	0.04881	0	0.00902	0	0	0	0	0	0	0	0	0	0.26092	0	0	0	0	0	0	0.50607	0	0	0	0	0	0.50834	0	0	0	0	0	0	0	0.42844	0.94053	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris	0	0	0	0.14807	0.14292	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03599	0	0	0	0	0	0	0	0	0	0	0	0.00746	0	0	0.02811	0	0.00801	0	0	0	0	0	0.09556	0.11712	0	0	0	0	0	0.08221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01739	0.03378	0.02501	0.05659	0.03604	0	0.00834	0	0	0	0	0	0	0	0	0	0.01445	0	0.05693	0.08025	0.04485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00872	0	0	0	0	0	0	0.03403	0.34321	0.09946	0	0	0	0.0325	0	0	0	0.00467	0.08392	0	0	0	0	0	0	0.00543	0	0	0	0	0.17766	0	0	0	0	0.0428	0	0.01459	0.14307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00414	0	0	0	0	0	0.00507	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_sp_CAG_542	0	0	0	0.13947	0.16843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10254	0.20895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	0	0	0	0.13683	0.21882	0.13475	0	0	0	0.00915	0	0.04986	0	0	0.13914	0	0	0	0.01308	0	0	0.07458	0	0.01319	0	0.13511	1.88376	0	0	0	0	0	0.38544	0	0	0	0	0	0	0	0	0.19812	0.16853	0.13985	0.00169	0	0.01689	0	0	0	0	0.01701	0.00694	0	0.07914	0.53807	0	0	0.11947	0	0.01036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05937	0.58984	0.12722	0.0096	0	0	0	0	0	0	0.0129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03416	0	0	0	0.01142	0	0	0	0	0	0	0	0	0	0	0.06882	0.00177	0.00184	0.01028	0.36792	0.26358	0.05667	0	0	0	0	0.42761	0	0	0.00524	0.01529	0.2536	0.2053	0.31173	0.09713	0.01588	0.04088	0	0	0.61648	0	0	0	0	1.34197	8.58758	0.04016	0.28698	0.55893	0	0	0	0	0	0	0	2.01122	7.94727	0.05665
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1	0	0	0	0.12723	0.02424	0.17633	0.02745	0.05884	0.09006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149	0	0	0	0	0	0.20699	0.01832	0.17472	0.04698	0.07062	0.05788	0	0	0	0.17648	0	0	0	0	0	0	0.01669	0	0	0.01224	0	0	0.03994	0	0	0.24939	0	0	0	0.17305	0	0.00698	0	0	0	0	0	0	0	0.01968	0	0	0	0	0	0	0	0	0	0	0	0	0.14802	0	0	0	0.00626	0	0	0	0	0	0	0.00557	0.09103	0	0	0	0	0.28426	0	0.02925	0	0	0	0.21059	0	0.02301	0	0	0	0	0.01422	0	0.08134	0	0	0.02112	0	0	0	0	0	0	0.02789	0	0	0	0	0	0	0	0.10554	0	0.00902	0.09141	0	0	0	0	0	0	0	0	0.12526	0	0.05565	0	0.01622	0.01357	0	0	0	0	0	0	0	0.06688	0	0.0565	0	0.0201	0	0	0.06455	0.02724	0	0	0	0	0	0	0	0	0	0	0.03855	0.0047	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans	0	0	0	0.11188	0.04769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07525	0.03691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38769	0.02336	0	0	0	0	0	0	0	0	0	0	0.56098	0	0
