	SAM_01	SAM_02	SAM_03	SAM_04	SAM_05	SAM_06	SAM_07	SAM_08	SAM_10	SAM_11	SAM_12	SAM_13	SAM_14	SAM_15	SAM_16	SAM_17	SAM_18	SAM_19	SAM_20	SAM_21	SAM_22	SAM_23	SAM_24	SAM_25	SAM_26	SAM_27	SAM_28	SAM_29	SAM_30	SAM_31	SAM_32	SAM_33	SAM_34	SAM_35	SAM_36	SAM_37	SAM_38	SAM_39	SAM_40
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_johnsonii	0	0	0.08106	0	0	20.78523	0	0	2.01249	0	0	0	0	1.86631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0	0	0.07579	0.52173	0.66771	0	0	0.12588	0	0	0	1.36585	0.08017	0.63348	0.03973	0.61893	0	0.00748	12.46457	0.12009	0	1.55984	0.41647	0	0.32765	1.18063	0.25573	0.2028	0.00967	0	0	0	0.23253	0	0.66774	0.00704	0	0	0.06848
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum	0	0	0.05742	0.00844	0	0	0	0	0	0	0	0.07201	0	0	0	0	0	0	0	0	0	0.00743	0	0	0	0	0.10749	0.07481	0	0	0	0	0	0	0	0	0	0	0.37754
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_N6H1_15	0	0	0.04038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00772	0	0.11192	0	0	0	0	0	0.01771	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_reuteri	0	0	0.02415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis	0	0	0.01533	0.06337	0.04401	0	0	0	0	0	0	0	0	0.00121	0	0	0	0	0	0.00403	0	0	0	0	0	0	0	0	0.87656	0	0	0.04406	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_hylemonae	0	0	0.01138	0	0	0	0	0	0	0.00299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_An11	0	0	0.0066	0	0	0	0	0.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis	0	0	0.00659	0.00542	0	0	0	0	0	0	0	0.04013	0.00287	0.02732	0.62286	0	0.01633	0	0.31002	0.08399	0	0.2345	0	0	0.00866	0.60567	0	0	0.3017	0.3509	0	0.00217	0	0.01955	0.25742	0.00442	0	0	0.01171
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae	0	0	0.00611	0	0	0	0	0	0	0	0	0	0	0.00755	0	0	0.00376	0	0.01652	0	0	0	0	0	0	0.20449	0	0	0.20981	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi	0	0	0.00564	0.35596	0.00028	0	0	0	0.00173	0.11279	0	0.0275	0	0.03264	0	0.0034	0.00042	0	0	0	0.01065	0.03773	0	0.09051	0.02194	0	0.00245	0.00077	0.00202	0	0.08737	0.10057	0.00091	0	0.03634	0.01605	0.01258	0.06081	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa	0	0	0.00519	0	0	0.03353	0.01943	0	0.05104	0.07339	0	0.03482	0	0.01755	0	0	0.00028	0.01236	0	0	0.00904	0	0	0	0.02176	0	0	0.00516	0.00261	0.00044	0.05889	0.16965	0	0.00426	0	0	0	0.14216	0.00246
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_corporis	0	0	0.0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10602	0	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_methylpentosum	0	0	0.00169	0	0	0.00116	0	0	0	0.00094	0	0	0	0	0.00519	0	0	0	0	0	0	0.00103	0	0.02142	0	0	0	0	0.02109	0	0.011	0	0	0.00149	0.03462	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0	0	0.00107	0	3.78966	8.97325	0	0	0.43657	1.45782	0	0.00032	3.0585	3.02644	0.2721	0.00046	0	0.22143	0	0	0	0	1.44335	0.00145	3.97828	0.00056	0.06262	0.0949	0	0.07743	0	2.8652	0	0	2.91755	3.23275	1.32219	0	2.7701
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme	0	0	0.00082	0.0174	0	0.00688	0.09739	0.03456	0	0.09615	0.4606	0	0.17864	0.017	0.05975	0	0	0	0	0	0	0.07637	0	0.06204	0	0.66288	0	0.00072	1.00839	0	0.01954	0.03967	0.07577	0.00336	0.01533	0.01415	0	0.01903	0.10914
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Enorma_massiliensis	0	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Candidatus_Stoquefichus|s__Candidatus_Stoquefichus_sp_KLE1796	0	0	0	1.43904	0	0	0	0	0	0.92908	0.11876	0.18952	0	0.01806	0.08783	0	0.0129	0	0	0	0	0.00988	0	0	0.01233	0	0.00064	0.01223	0	0	0	0	0	1.5693	0.00562	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251	0	0	0	0.94291	0	0	0	3.67098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii	0	0	0	0.38259	0	0	0	0.10111	7e-05	0	0.21801	0.05264	0.00455	0.04289	0	0.0634	0	0.00162	0.24162	0	0	0.13238	0.00639	0	0.06585	0.15334	0.52261	0.38115	0.00617	0.15149	0.13044	0.01712	0	0	0.0419	0.05855	0	0	0.09227
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0	0.26435	0.21526	0	0	2.04352	0	0	0	0.00223	0	0	1.19111	0	0	0.06224	0.79709	0.32772	0	0.25479	0	0	0.24567	0	0.39841	0.29875	0	0	0	0	0.01675	0	0.6252	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve	0	0	0	0.14232	0	0	0	0	0	0	0	0	0	0	0.00226	0	0	0	0.034	0	0	0	0	0	0	0.17621	0	0	0.04542	0	0	0	0	0	0	0	0	0	0.02854
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus	0	0	0	0.03752	0.52435	0	0	0	0.31147	0.1109	0	0	0	0	0	0.0835	0	0.07678	0.43806	0.27531	0.16412	0	0.23655	0	0	0	0.0688	0.04382	0.145	0	2.0016	0	0.01341	0	0	0	0.00436	0	0.23281
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247	0	0	0	0.02585	0	0	0	0	0	0.01188	0	0	0	0	0	0	0	0	0.00324	0	0	0	0	0	0	0	0	0	0	0	0.00795	0	0	0.0019	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An131	0	0	0	0.0161	0	0	0	0	0	0.00157	0	0	0	0	0	0	0	0	0	0	0	0	0.00577	0	0	0	0	0	0	0.1069	0	0	0	0.01344	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae|g__Serratia|s__Serratia_marcescens	0	0	0	0.01551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc|s__Leuconostoc_lactis	0	0	0	0.01155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis|s__Anaerofustis_stercorihominis	0	0	0	0.00691	0	0.01279	0	0	0	0.08962	0	0	0	0.01786	0	0	0	0	0	0	0	0	0	0.01601	0	0	0	0	0.04171	0	0.01307	0	0	0	0	0	0	0.02238	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_saccharolyticum	0	0	0	0.00478	0	0	0.42576	0.08266	0	0	0	0	0	0.18715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01339	0	0	0	0	0.00915	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens	0	0	0	0.00438	0	0.01424	0	0	0	0.01414	0.00855	0.01277	0	0.00605	0.06567	0	0.00358	0	0	0	0	0.03632	0	0.05243	0	0	0	0	0.00201	0	0.00489	0.00477	0	0	0.01865	0.00158	0	0	0.00071
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_oris	0	0	0	0.00432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus|s__Pediococcus_pentosaceus	0	0	0	0.00417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria	0	0	0	0.00286	0	0	0	0	0	0	0	0	0	0	0.32138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta	0	0	0	0.00043	0	0	0	0	0.00048	0.05076	0	0	0	0	0	4e-04	0	0	0	0	0.00357	0	0	0.01291	0	0	0.00148	0	0.01424	0.00118	0.00803	0	0	0.00558	0	0	0	0.00828	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta	0	0	0	0.00032	0	0.14914	0.01014	0	0	0.01336	0.0207	0.00665	0	0.01486	0	0	0	0	0.03823	0	0	0.01175	0	0.10406	0.00131	0	0	0	1.42761	0	0.01535	0.15354	0	0.00362	0.00148	0	0	0	0.00831
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0	0	0	0	0.14866	2.08909	0	0	0	0	0	0	0	0	0.01967	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05581	0.05816	0.26979	0	0.00653	0	0	0	0	0.23956	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans	0	0	0	0	0.04672	0	0	0.01293	0.08047	0	0	0	3.37929	0	0.79425	7.28139	0	1.34454	0	0	0.16227	0	1.25446	0	0	0	0	0	0	0	1.24999	0	0.09529	0.66893	0	0.16072	0	0	0.50752
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum|s__Anaerotignum_lactatifermentans	0	0	0	0	0.02547	0	0	0	0.0102	0.36204	0	0	0.1892	0.08744	0	0.00295	0.21147	0	0	0.06691	0	0.25069	0	0	0	0	0	0.00096	0.11303	0	0	0.00512	0	0	0	0	0.03602	0.05515	0.00782
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii	0	0	0	0	0.00462	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Massiliomicrobiota|s__Massiliomicrobiota_timonensis	0	0	0	0	0.00284	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01981	0.07297	0	0.0197	0	0	0	0	0	0	0.0437	0.0197	0	0.06219	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile	0	0	0	0	0	3.7678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00482	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An172	0	0	0	0	0	0.79238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0	0	0	0	0	0.54144	0	0	0	0	0	0	0	0	0	0	0	0.02306	0	0	0	0	0	0	0	0	0.00122	0.0412	0	0	0	0.09946	0.19293	0.20904	0	0	0.04495	0.40669	0.08211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Murimonas|s__Murimonas_intestini	0	0	0	0	0	0.19518	0	0	0	0	0	0	0	0.00746	0	0	0	0	0	0	0	0	0	0.08519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_coccoides	0	0	0	0	0	0.16645	0	0	0	0	0.00534	0	0	1e-04	0.15454	0	0	0	0.00054	0	0	0.00046	0	0.52643	0	0.0851	0	0	0.01699	0	0	0.00726	0	0	0	0.00598	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_aldenense	0	0	0	0	0	0.02476	0	0.00985	0	0	0.00713	0.00755	0	0	0.00078	0	0.00091	0	0	0	0	0.00457	0	0	0.00153	0.0598	0	0	0.00357	0	0	0.01181	0	0	0.01625	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_cocleatum	0	0	0	0	0	0.01995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_fairfieldensis	0	0	0	0	0	0.00364	0	0	0	0	0	0	0	0	0.05725	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03915	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_aerogenes	0	0	0	0	0	0.00225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Lactonifactor|s__Lactonifactor_longoviformis	0	0	0	0	0	0.00025	0	0	0	0.00722	0	0	0	0.00132	0	0	0	0	0	0	0	0	0	0	0	0.02667	0	0	0	0	0.00374	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_274	0	0	0	0	0	0	1.259	0.17745	0	0	0	0	0	0	0	0.00099	0	0	0.05699	0.23811	0	0	0.12996	0	0	0	0	0	0	0	0	0	0.02735	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	0	0	0	0	0	0	0.70132	0	1.07382	0.00505	0	0	0	0	0.0236	0	2.06867	0.24223	0.38608	0	0	0	0	0	0	0	0.01305	0.00894	0	0.87813	0	0	0	0	0	0	0	1.80536	2.26466
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini	0	0	0	0	0	0	0	5.1621	0	0	0	0	0	0	0	2.48941	3.46333	0	0	0	0	0	0	0	0	0	1.33756	1.05977	0	0	0	0	2.00291	0	0	0	0	0.18226	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0	0	0	0	0	0	0	4.95423	0	0.01851	0	0	0	0	0	0	0.14587	0	0	0	0	0	0	0	0	0	0	0	0	0.4991	0	0	0.5504	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	0	0	0	0	0	0	0	0.51121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus	0	0	0	0	0	0	0	0.41192	0	0	0	0	0	0	0	0	0	0.40921	0	0	0	0	1.9009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_sp_CAG_357	0	0	0	0	0	0	0	0.38551	0	0	0	0	0	0	0	1.19152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	0	0	0	0	0	0	0	0.0996	0	0	0.23725	0.01363	0	0	0.00976	0	0	0.002	0	0	0	0	0	0	0	0	0.01425	0.00722	0	0	0	0	0	0	0.0013	0.01422	0	0	0.0262
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Anaeroglobus|s__Anaeroglobus_geminatus	0	0	0	0	0	0	0	0.07356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01463	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	0	0	0	0	0	0	0	0.04022	0	0	0.65654	0.07558	0	0	0.03129	0	0	0	0	0	0	0	0	0	0	0	0.17448	0.13309	0	0	0	0	0	0	0.00292	0.04219	0	0	0.01963
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	0	0	0	0	0	0	0	0.0141	0	0	0	0	0	0	0	0	0.01515	0.14134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra	0	0	0	0	0	0	0	0.00968	0	0.00028	0	0	0	0	0	0.00718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00088	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	0	0	0	0	0	0	0	0.00812	0	0	0.02139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27873	0.13372	0	0	0	0	0	0	0	0.00919	0	0	0.01376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Clostridiales_unclassified|s__Clostridiales_bacterium_CHKCI006	0	0	0	0	0	0	0	0.00669	0.00575	0	0	0	0	0.00215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus	0	0	0	0	0	0	0	0.00565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06414	0.00097	0.00438	0.00629	0.01059	0	0	0.10646	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_sp_An87	0	0	0	0	0	0	0	0.00395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__Catabacter|s__Catabacter_hongkongensis	0	0	0	0	0	0	0	0.00391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00523	0	0	0	0	0	0	0.01246	0.01021	0	0.00561	0	0	0	0.00586	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis	0	0	0	0	0	0	0	0.00161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22351	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170	0	0	0	0	0	0	0	0.00079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_lacrimalis	0	0	0	0	0	0	0	0.00017	0	0	0	0	0	0	0	0	0	0	0.01863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0	0	0	7.28588	0	0	0	7.55647	0	0	0.59233	0	0	0	0	6.97901	0	0	10.68723	18.06794	0	0.29663	0.54623	0.00257	0	0	0	0.00182	0	0	0	1.98281	0	0.96781
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_secundus	0	0	0	0	0	0	0	0	0.26381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04189	0.04475	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	0	0	0	0	0	0	0	0	0.0328	0	0	0	0	0.13885	0	0	0	0.08975	0	0.00519	0.05571	0	0.00264	0	0	0	0.00419	0.00084	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_chh4_2	0	0	0	0	0	0	0	0	0.00077	0.00214	0	0	0	0.00249	0	0	0	0	0	0	0	0	0	0	0	0.00694	0	0	0.02543	0	0	0	0	0	0.00667	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An138	0	0	0	0	0	0	0	0	0.00046	0.0066	0	0.0129	0	0.00133	0	0	0	0	0	0.00427	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01052	0.0012	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis	0	0	0	0	0	0	0	0	4e-04	0	0	0.01766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01046	0	0	0	0	0	0.00246	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16	0	0	0	0	0	0	0	0	0.00019	0.06819	0	0	0	0	0	0.02138	0.02133	0	0.01362	0	0	0	0	0.01649	0.00882	0	0	0	0.00533	0	0	0	0	0	0	0	0	0	0.00205
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea|s__Faecalitalea_cylindroides	0	0	0	0	0	0	0	0	0	2.34256	0	0	0	0	0	0.03655	0	0	0	0	0	0	0	0	0	0	0.0353	0.02196	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter|s__Pyramidobacter_piscolens	0	0	0	0	0	0	0	0	0	1.56501	0	0	0	0	2.33384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
